2443,300,3400,4000,1500,4000,600,4000,5000,2500,4500,1200,6100,7000,4100,5000,1800,8000,9000,5500,6000,2400,10550,12000,7220
2727,410,3499,4300,1800,5200,800,4600,6200,2700,6000,1550,6900,8000,4300,6500,2000,8800,10200,6000,7800,2500,10900,13200,8000
3151,550,3599,4700,2100,6800,1050,5100,7300,3500,7800,1700,7300,9100,4850,8800,2250,9200,11000,6800,9800,2800,11200,14100,8600
3578,605,3700,4900,2500,7500,1200,6000,8000,4000,8500,1800,8500,10000,5500,10000,2400,10500,12000,7100,11000,3200,12000,15000,9100
