2821,300,3820,4370,3970,7500,1200,5500,4540,4140,10000,1800,8500,4710,4310,12500,2400,11000,4880,4480,15000,3000,14000,5200,4800
3010,560,4000,4870,4470,8800,1400,6000,5040,4640,12000,2000,9200,5210,4810,14200,2600,12000,5380,4980,16800,3500,14800,5700,5300
3261,890,4307,5670,5270,10800,1650,7200,5840,5340,14000,2300,10200,6010,5610,16000,2820,13500,6180,5780,18200,4000,15500,6500,6150
3578,1000,4400,6370,5970,12500,1800,8500,6540,6140,15000,2400,11000,6710,6310,17500,3000,14000,6880,6480,19000,4500,16000,7200,6800
