2822,300,2810,3340,3800,3600,1200,4300,5900,3500,5000,1800,5300,3510,4100,8000,2400,5440,3800,4200,9500,2800,5670,6200,4300
3010,560,3000,3940,4070,3840,1380,4900,6330,3930,6200,2000,5690,4110,4500,8300,2500,5600,4500,4640,1010,3000,5800,6900,4700
3300,890,3468,4840,5000,3900,1600,5320,6440,4360,7000,2200,6250,5010,4780,9000,2650,5800,5380,5000,10300,3800,6100,7500,5100
3600,1000,3760,5740,5600,5100,1750,5800,6900,5000,8000,2300,6500,5910,5360,9500,2800,6000,6200,5400,11000,4300,6350,7850,5500
